    Fribourg_Switzerland
    46.82,7.16,610,+1
	m	d	h	#sunAzimuth	sunAltitude
489	1	21	8	117.647	-2.04262
490	1	21	9	128.832	6.53937
491	1	21	10	141.1	13.8035
492	1	21	11	154.648	19.2675
493	1	21	12	169.338	22.4462
494	1	21	13	184.601	22.9902
495	1	21	14	199.608	20.8334
496	1	21	15	213.653	16.2264
497	1	21	16	226.422	9.61984
498	1	21	17	238	1.50925
499	1	21	18	248.716	-7.65971
500	1	21	19	259.043	-17.5113
501	1	21	20	269.582	-27.7138
502	1	21	21	281.167	-37.9217
503	1	21	22	295.093	-47.671
504	1	21	23	313.45	-56.1683
505	1	22	0	338.661	-61.7164
506	1	22	1	9.16434	-62.8225
507	1	22	2	37.0933	-58.7416
508	1	22	3	57.9615	-51.1418
509	1	22	4	73.3836	-41.7883
510	1	22	5	85.7382	-31.7038
511	1	22	6	96.5972	-21.4533
512	1	22	7	106.943	-11.415
513	1	22	8	117.452	-1.91861
514	1	22	9	128.649	6.68181
515	1	22	10	140.933	13.968
516	1	22	11	154.506	19.4554
517	1	22	12	169.232	22.6554
518	1	22	13	184.54	23.2142
519	1	22	14	199.595	21.064
520	1	22	15	213.68	16.4558
521	1	22	16	226.481	9.84331
522	1	22	17	238.082	1.72498
523	1	22	18	248.816	-7.45126
524	1	22	19	259.158	-17.3082
525	1	22	20	269.71	-27.5128
526	1	22	21	281.306	-37.7184
527	1	22	22	295.232	-47.46
528	1	22	23	313.554	-55.9449
529	1	23	0	338.653	-61.4803
530	1	23	1	8.96451	-62.6049
531	1	23	2	36.7885	-58.5666
532	1	23	3	57.6564	-51.0038
533	1	23	4	73.1085	-41.6717
534	1	23	5	85.4916	-31.5957
535	1	23	6	96.3722	-21.3444
536	1	23	7	106.733	-11.2984
537	1	23	8	117.255	-1.78831
538	1	23	9	128.465	6.83062
539	1	23	10	140.765	14.139
540	1	23	11	154.364	19.6499
541	1	23	12	169.127	22.8709
542	1	23	13	184.482	23.4443
543	1	23	14	199.585	21.2999
544	1	23	15	213.712	16.6899
545	1	23	16	226.546	10.0707
546	1	23	17	238.17	1.9441
547	1	23	18	248.922	-7.23988
548	1	23	19	259.279	-17.1023
549	1	23	20	269.845	-27.3091
550	1	23	21	281.451	-37.5123
551	1	23	22	295.378	-47.2457
552	1	23	23	313.667	-55.7173
553	1	24	0	338.654	-61.239
554	1	24	1	8.77118	-62.3807
555	1	24	2	36.4859	-58.3844
556	1	24	3	57.3504	-50.8588
557	1	24	4	72.831	-41.5483
558	1	24	5	85.2424	-31.4811
559	1	24	6	96.1445	-21.2293
560	1	24	7	106.521	-11.1754
561	1	24	8	117.056	-1.65175
562	1	24	9	128.279	6.98579
563	1	24	10	140.596	14.3164
564	1	24	11	154.222	19.8508
565	1	24	12	169.024	23.0927
566	1	24	13	184.427	23.6803
567	1	24	14	199.58	21.5412
568	1	24	15	213.75	16.9285
569	1	24	16	226.616	10.3021
570	1	24	17	238.264	2.1665
571	1	24	18	249.034	-7.02561
572	1	24	19	259.406	-16.8939
573	1	24	20	269.986	-27.1029
574	1	24	21	281.604	-37.3035
575	1	24	22	295.532	-47.0283
576	1	24	23	313.787	-55.4858
577	1	25	0	338.662	-60.9925
578	1	25	1	8.5849	-62.15
579	1	25	2	36.1859	-58.1949
580	1	25	3	57.0437	-50.7066
581	1	25	4	72.5515	-41.4182
582	1	25	5	84.9907	-31.3601
583	1	25	6	95.9145	-21.1078
584	1	25	7	106.307	-11.0463
585	1	25	8	116.855	-1.50896
586	1	25	9	128.091	7.14724
587	1	25	10	140.426	14.5002
588	1	25	11	154.08	20.0581
589	1	25	12	168.922	23.3208
590	1	25	13	184.375	23.9222
591	1	25	14	199.579	21.7877
592	1	25	15	213.792	17.1717
593	1	25	16	226.691	10.5372
594	1	25	17	238.364	2.39207
595	1	25	18	249.152	-6.80864
596	1	25	19	259.539	-16.683
597	1	25	20	270.133	-26.8942
598	1	25	21	281.763	-37.0921
599	1	25	22	295.693	-46.8077
600	1	25	23	313.915	-55.2503
601	1	26	0	338.679	-60.741
602	1	26	1	8.40521	-61.9129
603	1	26	2	35.8887	-57.9983
604	1	26	3	56.7365	-50.5474
605	1	26	4	72.2703	-41.2814
606	1	26	5	84.7368	-31.2326
607	1	26	6	95.6823	-20.9801
608	1	26	7	106.091	-10.911
609	1	26	8	116.652	-1.35999
610	1	26	9	127.902	7.31493
611	1	26	10	140.256	14.6903
612	1	26	11	153.938	20.2717
613	1	26	12	168.822	23.555
614	1	26	13	184.326	24.1698
615	1	26	14	199.582	22.0393
616	1	26	15	213.839	17.4192
617	1	26	16	226.772	10.7759
